               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088543,            0.030169,                   0,             0.62243,             0.56356,             0.62275,              0.2558,            0.054691,            0.018261,                   0,             0.00055,             0.00055,             0.09505
                   1,            0.056897,            0.025282,                   0,             0.73994,             0.71132,             0.75192,             0.32789,            0.044781,             0.01177,                   0,           0.0011086,           0.0011086,            0.090009
                   2,            0.048731,            0.022431,                   0,             0.80424,             0.83898,             0.87257,             0.50023,            0.038749,            0.010253,                   0,           0.0016618,           0.0016618,            0.084962
                   3,              0.0442,            0.020761,                   0,             0.82062,             0.77537,               0.798,             0.44268,            0.041084,            0.010427,                   0,           0.0022054,           0.0022054,            0.079905
                   4,            0.040705,            0.020186,                   0,             0.85693,             0.82627,             0.88982,             0.57988,            0.034028,            0.009362,                   0,           0.0027354,           0.0027354,            0.074835
                   5,            0.038709,            0.019237,                   0,             0.81656,             0.83051,             0.84901,             0.54071,            0.033893,           0.0092678,                   0,            0.003248,            0.003248,            0.069748
                   6,            0.036954,            0.018554,                   0,             0.83028,             0.85169,             0.88561,             0.58591,            0.032842,           0.0088733,                   0,           0.0037395,           0.0037395,             0.06464
                   7,            0.036234,            0.018185,                   0,             0.80539,             0.83898,             0.84136,             0.53737,             0.03539,           0.0090792,                   0,           0.0042065,           0.0042065,            0.059507
                   8,            0.035179,            0.018039,                   0,             0.85808,             0.81983,             0.89851,              0.6076,            0.032929,           0.0090072,                   0,           0.0046457,           0.0046457,            0.054346
                   9,            0.034324,            0.018148,                   0,             0.84529,             0.83475,             0.89664,             0.59764,            0.030123,           0.0089522,                   0,           0.0050543,           0.0050543,            0.049154
                  10,            0.034786,            0.017792,                   0,             0.85152,             0.85169,             0.89859,             0.59787,             0.03192,           0.0091052,                   0,           0.0054295,           0.0054295,            0.043929
                  11,            0.033434,            0.017746,                   0,             0.86412,             0.86228,             0.92047,             0.61675,            0.031577,           0.0087873,                   0,           0.0057691,           0.0057691,            0.038669
                  12,            0.032771,            0.017437,                   0,             0.82092,             0.86437,             0.88035,             0.57487,            0.030311,           0.0096576,                   0,           0.0060713,           0.0060713,            0.033371
                  13,             0.03276,            0.017098,                   0,             0.79076,             0.74576,             0.79096,              0.4561,            0.037348,            0.010597,                   0,           0.0063345,           0.0063345,            0.028034
                  14,            0.032869,            0.018185,                   0,             0.80886,             0.80297,             0.84839,                0.55,            0.035393,            0.009834,                   0,           0.0065576,           0.0065576,            0.022658
                  15,            0.031788,            0.017712,                   0,             0.79141,             0.86013,             0.87704,             0.57013,            0.034468,           0.0093555,                   0,             0.00674,             0.00674,             0.01724
                  16,            0.031319,            0.016979,                   0,             0.88256,             0.76424,             0.85119,             0.54928,            0.034732,            0.010056,                   0,           0.0068815,           0.0068815,            0.011782
                  17,            0.031899,            0.017799,                   0,             0.72209,             0.71012,             0.76349,             0.48044,            0.036559,            0.011231,                   0,           0.0069338,           0.0069338,           0.0069338
                  18,             0.03141,            0.017904,                   0,             0.69285,             0.70729,             0.70578,             0.43491,            0.036488,            0.010687,                   0,           0.0069338,           0.0069338,           0.0069338
                  19,            0.030812,            0.017327,                   0,             0.83176,             0.82747,             0.85037,             0.53595,            0.034427,           0.0095909,                   0,           0.0066257,           0.0066257,           0.0066257
                  20,            0.029882,            0.016932,                   0,             0.86803,             0.83613,             0.88513,             0.60692,            0.032821,           0.0090341,                   0,           0.0063138,           0.0063138,           0.0063138
                  21,            0.029249,            0.016879,                   0,             0.79943,             0.81992,             0.85137,             0.56512,            0.031757,           0.0094409,                   0,               0.006,               0.006,               0.006
                  22,             0.02823,            0.016439,                   0,             0.87592,             0.80932,             0.89094,             0.60355,            0.029794,           0.0089883,                   0,           0.0056862,           0.0056862,           0.0056862
                  23,            0.027566,            0.016386,                   0,             0.90162,             0.81552,             0.89612,             0.58682,            0.031464,           0.0093569,                   0,           0.0053743,           0.0053743,           0.0053743
                  24,            0.026805,            0.015853,                   0,               0.879,             0.86229,             0.91394,             0.65704,             0.03016,           0.0085638,                   0,           0.0050662,           0.0050662,           0.0050662
                  25,            0.026653,            0.015592,                   0,             0.87338,             0.86221,             0.90715,             0.65939,            0.028941,           0.0081979,                   0,           0.0047639,           0.0047639,           0.0047639
                  26,            0.026391,            0.015507,                   0,             0.88397,             0.85593,             0.91239,             0.65744,            0.029314,           0.0085684,                   0,           0.0044693,           0.0044693,           0.0044693
                  27,            0.024947,             0.01503,                   0,             0.87891,             0.87653,             0.91046,             0.66217,            0.031293,           0.0083301,                   0,            0.004184,            0.004184,            0.004184
